"ID","Tramite","Campaña","Total_tramites_por_campaña","Numero_semanas_por_campaña","Promedio_tramites_por_semana","Mediana","Desviacion_Estandar","Rango_Intercuantil","Q1","Q3"
"AGUASCALIENTES-DTO-1","ENTREGA_CPV","CAI_2017_2018",21699,22,986.32,996,344.18,290.5,830,1120.5
"AGUASCALIENTES-DTO-1","ENTREGA_CPV","CAI_2018",14491,14,1035.07,1047.5,130.95,165.75,952.5,1118.25
"AGUASCALIENTES-DTO-1","ENTREGA_CPV","CAI_2019",12034,14,859.57,909.5,270.54,148.5,833.25,981.75
"AGUASCALIENTES-DTO-1","ENTREGA_CPV","CAI_2020_2021",27242,23,1184.43,1301,419.22,599.5,815.5,1415
"AGUASCALIENTES-DTO-1","ENTREGA_CPV","CAP_2018",2411,7,344.43,214,323.18,418,118.5,536.5
"AGUASCALIENTES-DTO-1","ENTREGA_CPV","CAP_2018_2019",36318,38,955.74,827,890.69,1262.25,305.75,1568
"AGUASCALIENTES-DTO-1","ENTREGA_CPV","CAP_2019_2020",17974,20,898.7,980.5,505.47,645.75,597.5,1243.25
"AGUASCALIENTES-DTO-1","ENTREGA_CPV","Proceso Electoral Federal",18451,27,683.37,315,794.37,612.5,176,788.5
"AGUASCALIENTES-DTO-1","TOTAL_SOLICITUDES","CAI_2017_2018",24743,22,1124.68,993,510.36,335.25,859.5,1194.75
"AGUASCALIENTES-DTO-1","TOTAL_SOLICITUDES","CAI_2018",14962,14,1068.71,1102.5,142.34,113.5,1014.5,1128
"AGUASCALIENTES-DTO-1","TOTAL_SOLICITUDES","CAI_2019",12678,14,905.57,916,91.32,130,828,958
"AGUASCALIENTES-DTO-1","TOTAL_SOLICITUDES","CAI_2020_2021",30980,23,1346.96,1236,547.16,367,1088,1455
"AGUASCALIENTES-DTO-1","TOTAL_SOLICITUDES","CAP_2018",4046,7,578,637,482.73,881,135,1016
"AGUASCALIENTES-DTO-1","TOTAL_SOLICITUDES","CAP_2018_2019",37228,38,979.68,831.5,776.4,467.5,667.5,1135
"AGUASCALIENTES-DTO-1","TOTAL_SOLICITUDES","CAP_2019_2020",17942,20,897.1,873,466.98,426.75,752.25,1179
"AGUASCALIENTES-DTO-1","TOTAL_SOLICITUDES","Proceso Electoral Federal",7131,27,264.11,182,367.1,115,137,252
"AGUASCALIENTES-DTO-2","ENTREGA_CPV","CAI_2017_2018",30906,22,1404.82,1404.5,455.63,343.25,1220,1563.25
"AGUASCALIENTES-DTO-2","ENTREGA_CPV","CAI_2018",20718,14,1479.86,1507,284.86,272.25,1281.5,1553.75
