"ID","Tramite","Campaña","Numero_semanas_por_campaña","EMedia_Tramites_por_semana","EBaja_Tramites_por_semana","EAlta_Tramites_por_semana","EMedia_Tramites_por_campaña","EBaja_Tramites_por_campaña","EAlta_Tramites_por_campaña"
"AGUASCALIENTES-DTO-1","ENTREGA_CPV","CAP_2021",13,214,118.5,536.5,2782,1540.5,6974.5
"AGUASCALIENTES-DTO-1","TOTAL_SOLICITUDES","CAP_2021",13,637,135,1016,8281,1755,13208
"AGUASCALIENTES-DTO-2","ENTREGA_CPV","CAP_2021",13,532,477,1289,6916,6201,16757
"AGUASCALIENTES-DTO-2","TOTAL_SOLICITUDES","CAP_2021",13,1294,461.5,1599.5,16822,5999.5,20793.5
"AGUASCALIENTES-DTO-3","ENTREGA_CPV","CAP_2021",13,751,571.5,1005.5,9763,7429.5,13071.5
"AGUASCALIENTES-DTO-3","TOTAL_SOLICITUDES","CAP_2021",13,1246,505,1483.5,16198,6565,19285.5
"BAJA CALIFORNIA-DTO-1","ENTREGA_CPV","CAP_2021",13,238,234.5,677,3094,3048.5,8801
"BAJA CALIFORNIA-DTO-1","TOTAL_SOLICITUDES","CAP_2021",13,791,221,1086,10283,2873,14118
"BAJA CALIFORNIA-DTO-2","ENTREGA_CPV","CAP_2021",13,315,280.5,677.5,4095,3646.5,8807.5
"BAJA CALIFORNIA-DTO-2","TOTAL_SOLICITUDES","CAP_2021",13,608,298.5,1472.5,7904,3880.5,19142.5
"BAJA CALIFORNIA-DTO-3","ENTREGA_CPV","CAP_2021",13,327,226,442,4251,2938,5746
"BAJA CALIFORNIA-DTO-3","TOTAL_SOLICITUDES","CAP_2021",13,346,271.5,1665,4498,3529.5,21645
"BAJA CALIFORNIA-DTO-4","ENTREGA_CPV","CAP_2021",13,189,80.5,617,2457,1046.5,8021
"BAJA CALIFORNIA-DTO-4","TOTAL_SOLICITUDES","CAP_2021",13,483,140.5,1315.5,6279,1826.5,17101.5
"BAJA CALIFORNIA-DTO-5","ENTREGA_CPV","CAP_2021",13,719,567,1415,9347,7371,18395
"BAJA CALIFORNIA-DTO-5","TOTAL_SOLICITUDES","CAP_2021",13,1476,565,2793.5,19188,7345,36315.5
"BAJA CALIFORNIA-DTO-6","ENTREGA_CPV","CAP_2021",13,299,239.5,654,3887,3113.5,8502
"BAJA CALIFORNIA-DTO-6","TOTAL_SOLICITUDES","CAP_2021",13,303,275,1519,3939,3575,19747
"BAJA CALIFORNIA-DTO-7","ENTREGA_CPV","CAP_2021",13,260,238.5,824.5,3380,3100.5,10718.5
"BAJA CALIFORNIA-DTO-7","TOTAL_SOLICITUDES","CAP_2021",13,938,266,1687.5,12194,3458,21937.5
"BAJA CALIFORNIA-DTO-8","ENTREGA_CPV","CAP_2021",13,462,314.5,771,6006,4088.5,10023
"BAJA CALIFORNIA-DTO-8","TOTAL_SOLICITUDES","CAP_2021",13,445,312,1877,5785,4056,24401
"BAJA CALIFORNIA SUR-DTO-1","ENTREGA_CPV","CAP_2021",13,410,301,541.5,5330,3913,7039.5
"BAJA CALIFORNIA SUR-DTO-1","TOTAL_SOLICITUDES","CAP_2021",13,521,336,888,6773,4368,11544
"BAJA CALIFORNIA SUR-DTO-2","ENTREGA_CPV","CAP_2021",13,267,201,555,3471,2613,7215
"BAJA CALIFORNIA SUR-DTO-2","TOTAL_SOLICITUDES","CAP_2021",13,510,223.5,1188,6630,2905.5,15444
"CAMPECHE-DTO-1","ENTREGA_CPV","CAP_2021",13,478,342,564,6214,4446,7332
"CAMPECHE-DTO-1","TOTAL_SOLICITUDES","CAP_2021",13,546,463,898.5,7098,6019,11680.5
