"ID","Campaña","PROMEDIO_SEMANAL_ENTREGA_CPV","PROMEDIO_SEMANAL_TOTAL_SOLICITUDES"
"AGUASCALIENTES-DTO-1","CAI_2017_2018",986.32,1124.68
"AGUASCALIENTES-DTO-1","CAI_2018",1035.07,1068.71
"AGUASCALIENTES-DTO-1","CAI_2019",859.57,905.57
"AGUASCALIENTES-DTO-1","CAI_2020_2021",1184.43,1346.96
"AGUASCALIENTES-DTO-1","CAP_2018",344.43,578
"AGUASCALIENTES-DTO-1","CAP_2018_2019",955.74,979.68
"AGUASCALIENTES-DTO-1","CAP_2019_2020",898.7,897.1
"AGUASCALIENTES-DTO-1","Proceso Electoral Federal",683.37,264.11
"AGUASCALIENTES-DTO-2","CAI_2017_2018",1404.82,1646.05
"AGUASCALIENTES-DTO-2","CAI_2018",1479.86,1498.93
"AGUASCALIENTES-DTO-2","CAI_2019",1346.93,1458.21
"AGUASCALIENTES-DTO-2","CAI_2020_2021",1585.96,1742.48
"AGUASCALIENTES-DTO-2","CAP_2018",832.29,1009.43
"AGUASCALIENTES-DTO-2","CAP_2018_2019",1565.53,1619.84
"AGUASCALIENTES-DTO-2","CAP_2019_2020",1378,1345.3
"AGUASCALIENTES-DTO-2","Proceso Electoral Federal",1061.48,592.41
"AGUASCALIENTES-DTO-3","CAI_2017_2018",1433.36,1635.09
"AGUASCALIENTES-DTO-3","CAI_2018",1555.07,1580.29
"AGUASCALIENTES-DTO-3","CAI_2019",1178.36,1297.5
"AGUASCALIENTES-DTO-3","CAI_2020_2021",1463.39,1607.04
"AGUASCALIENTES-DTO-3","CAP_2018",779.43,984
"AGUASCALIENTES-DTO-3","CAP_2018_2019",1493.16,1524.42
"AGUASCALIENTES-DTO-3","CAP_2019_2020",1257.4,1226.75
"AGUASCALIENTES-DTO-3","Proceso Electoral Federal",996.67,560.04
"BAJA CALIFORNIA-DTO-1","CAI_2017_2018",994.73,1138.91
"BAJA CALIFORNIA-DTO-1","CAI_2018",1083.36,1119
"BAJA CALIFORNIA-DTO-1","CAI_2019",891.93,1000.07
"BAJA CALIFORNIA-DTO-1","CAI_2020_2021",1063.48,1244.7
"BAJA CALIFORNIA-DTO-1","CAP_2018",438.86,659.71
"BAJA CALIFORNIA-DTO-1","CAP_2018_2019",1274.55,1290.29
"BAJA CALIFORNIA-DTO-1","CAP_2019_2020",1018.4,1023.35
"BAJA CALIFORNIA-DTO-1","Proceso Electoral Federal",800.96,374.37
"BAJA CALIFORNIA-DTO-2","CAI_2017_2018",1123.14,1318.77
"BAJA CALIFORNIA-DTO-2","CAI_2018",1452.43,1523.43
"BAJA CALIFORNIA-DTO-2","CAI_2019",949.64,975.43
"BAJA CALIFORNIA-DTO-2","CAI_2020_2021",804.48,926.39
"BAJA CALIFORNIA-DTO-2","CAP_2018",512.57,820.29
"BAJA CALIFORNIA-DTO-2","CAP_2018_2019",1354.45,1375.05
"BAJA CALIFORNIA-DTO-2","CAP_2019_2020",925.1,878
"BAJA CALIFORNIA-DTO-2","Proceso Electoral Federal",792.26,406.89
"BAJA CALIFORNIA-DTO-3","CAI_2017_2018",1255.09,1450.77
"BAJA CALIFORNIA-DTO-3","CAI_2018",1535.5,1583.57
"BAJA CALIFORNIA-DTO-3","CAI_2019",1154.07,1278.86
"BAJA CALIFORNIA-DTO-3","CAI_2020_2021",1007.78,1245.13
"BAJA CALIFORNIA-DTO-3","CAP_2018",498,850
"BAJA CALIFORNIA-DTO-3","CAP_2018_2019",1483.05,1510.61
"BAJA CALIFORNIA-DTO-3","CAP_2019_2020",1136.25,1059.25
"BAJA CALIFORNIA-DTO-3","Proceso Electoral Federal",1024.56,506.78
"BAJA CALIFORNIA-DTO-4","CAI_2017_2018",689.09,828.18
"BAJA CALIFORNIA-DTO-4","CAI_2018",1124.43,1131.86
"BAJA CALIFORNIA-DTO-4","CAI_2019",998.07,1104.71
"BAJA CALIFORNIA-DTO-4","CAI_2020_2021",814.39,964.52
"BAJA CALIFORNIA-DTO-4","CAP_2018",417.43,684.71
"BAJA CALIFORNIA-DTO-4","CAP_2018_2019",978.79,1015.21
"BAJA CALIFORNIA-DTO-4","CAP_2019_2020",1061.9,981.7
"BAJA CALIFORNIA-DTO-4","Proceso Electoral Federal",677.7,334.37
"BAJA CALIFORNIA-DTO-5","CAI_2017_2018",2108.14,2298.82
"BAJA CALIFORNIA-DTO-5","CAI_2018",2459.29,2488.64
"BAJA CALIFORNIA-DTO-5","CAI_2019",1420.79,1493.79
"BAJA CALIFORNIA-DTO-5","CAI_2020_2021",1369.35,1600.3
"BAJA CALIFORNIA-DTO-5","CAP_2018",1036.43,1588.29
"BAJA CALIFORNIA-DTO-5","CAP_2018_2019",1961.29,1997.95
"BAJA CALIFORNIA-DTO-5","CAP_2019_2020",1404.4,1317.25
"BAJA CALIFORNIA-DTO-5","Proceso Electoral Federal",1287.52,748.7
"BAJA CALIFORNIA-DTO-6","CAI_2017_2018",1076.05,1171.27
"BAJA CALIFORNIA-DTO-6","CAI_2018",1347.79,1349.14
"BAJA CALIFORNIA-DTO-6","CAI_2019",1074,1172.43
